Footfall,Store ID,Store,Week,Month,Year
1153,S010,Perth,39,9,2023
940,S010,Perth,39,9,2023
1038,S010,Perth,39,9,2023
1023,S010,Perth,39,9,2023
1276,S010,Perth,39,9,2023
1442,S010,Perth,39,9,2023
1296,S010,Perth,39,9,2023
1853,S011,Edinburgh,39,9,2023
1864,S011,Edinburgh,39,9,2023
1770,S011,Edinburgh,39,9,2023
1936,S011,Edinburgh,39,9,2023
1915,S011,Edinburgh,39,9,2023
2733,S011,Edinburgh,39,9,2023
2469,S011,Edinburgh,39,9,2023
1043,S012,Dundee,39,9,2023
1132,S012,Dundee,39,9,2023
1131,S012,Dundee,39,9,2023
1021,S012,Dundee,39,9,2023
1151,S012,Dundee,39,9,2023
1524,S012,Dundee,39,9,2023
1313,S012,Dundee,39,9,2023
848,S013,Birtley,39,9,2023
913,S013,Birtley,39,9,2023
870,S013,Birtley,39,9,2023
928,S013,Birtley,39,9,2023
1061,S013,Birtley,39,9,2023
1208,S013,Birtley,39,9,2023
707,S013,Birtley,39,9,2023
1216,S014,Ponteland,39,9,2023
1102,S014,Ponteland,39,9,2023
1164,S014,Ponteland,39,9,2023
1283,S014,Ponteland,39,9,2023
1351,S014,Ponteland,39,9,2023
1630,S014,Ponteland,39,9,2023
1468,S014,Ponteland,39,9,2023
970,S019,Shrewsbury,39,9,2023
912,S019,Shrewsbury,39,9,2023
835,S019,Shrewsbury,39,9,2023
926,S019,Shrewsbury,39,9,2023
1013,S019,Shrewsbury,39,9,2023
1434,S019,Shrewsbury,39,9,2023
995,S019,Shrewsbury,39,9,2023
739,S020,Gailey,39,9,2023
758,S020,Gailey,39,9,2023
846,S020,Gailey,39,9,2023
714,S020,Gailey,39,9,2023
734,S020,Gailey,39,9,2023
1134,S020,Gailey,39,9,2023
885,S020,Gailey,39,9,2023
1143,S022,Milngavie,39,9,2023
840,S022,Milngavie,39,9,2023
833,S022,Milngavie,39,9,2023
925,S022,Milngavie,39,9,2023
