Date,Week,Month,Year,Medium,Impressions,Ad Spend
01/04/2023,13,4,2023,Advertorial,1.00,0.00
02/04/2023,14,4,2023,Advertorial,2.00,0.00
02/04/2023,14,4,2023,Advertorial,1.00,0.00
03/04/2023,14,4,2023,Advertorial,2.00,0.00
03/04/2023,14,4,2023,Advertorial,3.00,0.00
04/04/2023,14,4,2023,Unknown,1.00,-
04/04/2023,14,4,2023,Advertorial,1.00,0.00
04/04/2023,14,4,2023,Display,0.00,-
05/04/2023,14,4,2023,Advertorial,1.00,0.00
05/04/2023,14,4,2023,Advertorial,1.00,0.00
05/04/2023,14,4,2023,Display,804.00,7.00
05/04/2023,14,4,2023,Display,840.00,7.00
05/04/2023,14,4,2023,Display,841.00,7.00
05/04/2023,14,4,2023,Display,838.00,7.00
05/04/2023,14,4,2023,Display,827.00,7.00
05/04/2023,14,4,2023,Display,866.00,7.00
05/04/2023,14,4,2023,Display,849.00,7.00
05/04/2023,14,4,2023,Display,520.00,4.00
05/04/2023,14,4,2023,Display,504.00,4.00
05/04/2023,14,4,2023,Display,539.00,5.00
05/04/2023,14,4,2023,Display,544.00,5.00
05/04/2023,14,4,2023,Display,503.00,4.00
05/04/2023,14,4,2023,Display,467.00,4.00
05/04/2023,14,4,2023,Display,509.00,4.00
06/04/2023,14,4,2023,Display,51468.00,77.00
06/04/2023,14,4,2023,Display,51224.00,77.00
06/04/2023,14,4,2023,Display,51024.00,77.00
06/04/2023,14,4,2023,Display,50760.00,76.00
06/04/2023,14,4,2023,Display,50785.00,76.00
06/04/2023,14,4,2023,Display,50172.00,75.00
06/04/2023,14,4,2023,Display,50055.00,75.00
06/04/2023,14,4,2023,Display,18783.00,28.00
06/04/2023,14,4,2023,Display,18471.00,28.00
06/04/2023,14,4,2023,Display,18409.00,28.00
06/04/2023,14,4,2023,Display,18382.00,28.00
06/04/2023,14,4,2023,Display,18411.00,28.00
06/04/2023,14,4,2023,Display,18351.00,28.00
06/04/2023,14,4,2023,Display,18175.00,27.00
06/04/2023,14,4,2023,Display,29530.00,44.00
06/04/2023,14,4,2023,Display,29215.00,44.00
06/04/2023,14,4,2023,Display,28658.00,43.00
06/04/2023,14,4,2023,Display,28374.00,43.00
06/04/2023,14,4,2023,Display,28270.00,42.00
06/04/2023,14,4,2023,Display,28657.00,43.00
06/04/2023,14,4,2023,Display,28656.00,43.00
06/04/2023,14,4,2023,Display,5347.00,8.00
06/04/2023,14,4,2023,Display,5323.00,8.00
06/04/2023,14,4,2023,Display,5301.00,8.00
06/04/2023,14,4,2023,Display,5216.00,8.00
06/04/2023,14,4,2023,Display,5237.00,8.00
06/04/2023,14,4,2023,Display,5189.00,8.00
06/04/2023,14,4,2023,Display,5121.00,8.00
06/04/2023,14,4,2023,Display,2351.00,4.00
06/04/2023,14,4,2023,Display,2324.00,3.00
06/04/2023,14,4,2023,Display,2185.00,3.00
06/04/2023,14,4,2023,Display,2138.00,3.00
06/04/2023,14,4,2023,Display,2104.00,3.00
06/04/2023,14,4,2023,Display,2014.00,3.00
06/04/2023,14,4,2023,Display,1916.00,3.00
06/04/2023,14,4,2023,Display,1848.00,3.00
06/04/2023,14,4,2023,Display,1797.00,3.00
06/04/2023,14,4,2023,Display,1801.00,3.00
06/04/2023,14,4,2023,Display,1805.00,3.00
06/04/2023,14,4,2023,Display,1758.00,3.00
06/04/2023,14,4,2023,Display,1734.00,3.00
06/04/2023,14,4,2023,Display,1766.00,3.00
06/04/2023,14,4,2023,Advertorial,1.00,0.00
06/04/2023,14,4,2023,Advertorial,1.00,0.00
06/04/2023,14,4,2023,Display,4786.00,41.00
06/04/2023,14,4,2023,Display,4828.00,41.00
06/04/2023,14,4,2023,Display,4905.00,42.00
06/04/2023,14,4,2023,Display,4720.00,40.00
06/04/2023,14,4,2023,Display,4884.00,42.00
06/04/2023,14,4,2023,Display,4824.00,41.00
06/04/2023,14,4,2023,Display,4923.00,42.00
06/04/2023,14,4,2023,Display,5931.00,50.00
06/04/2023,14,4,2023,Display,5932.00,50.00
06/04/2023,14,4,2023,Display,5929.00,50.00
06/04/2023,14,4,2023,Display,5921.00,50.00
06/04/2023,14,4,2023,Display,5907.00,50.00
